"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City of Canon City Mayor ( 1)","Preston R. Troutman","",3609,100.00,11210,4708,1,1,"0","0"
2,"City of Canon City Council Member District 1 ( 1)","Frank J. Jaquez","",3021,100.00,11210,4708,1,1,"0","0"
3,"City of Canon City Council Member District 3 ( 1)","John S. Hamrick","",2964,100.00,11210,4708,1,1,"0","0"
4,"City of Canon City Council Member At-Large ( 1)","Ron Bates","",1120,28.90,11210,4708,1,1,"0","0"
5,"City of Canon City Council Member At-Large ( 1)","Randy R. Smith","",1237,31.91,11210,4708,1,1,"0","0"
6,"City of Canon City Council Member At-Large ( 1)","Dolly Gonzales","",1519,39.19,11210,4708,1,1,"0","0"
7,"City of Florence Mayor ( 1)","Keith Ore","",540,63.23,2579,862,3,3,"0","0"
8,"City of Florence Mayor ( 1)","Larry Baker","",314,36.77,2579,862,3,3,"0","0"
9,"City of Florence Council Member Ward 1 ( 1)","Patricia (Pat) Smith","",240,100.00,862,298,1,1,"0","0"
10,"City of Florence Council Member Ward 2 ( 1)","Paul Villagrana","",141,54.23,857,271,1,1,"0","0"
11,"City of Florence Council Member Ward 2 ( 1)","Janna Hagen","",119,45.77,857,271,1,1,"0","0"
12,"City of Florence Council Member Ward 3 ( 1)","Allen Knisley","",223,100.00,860,293,1,1,"0","0"
13,"Fremont County RE-1 School Directors At Large ( 2)","Shad Johnson","",4907,48.37,19355,8287,3,3,"0","0"
14,"Fremont County RE-1 School Directors At Large ( 2)","Mary Kay Evans","",5237,51.63,19355,8287,3,3,"0","0"
15,"Fremont RE-2 School District Director District E ( 1)","Andy Franklin","",1726,100.00,8204,2529,7,7,"0","0"
16,"Fremont RE-2 School District Director District F ( 1)","Linda Schmidt","",1798,100.00,8204,2529,7,7,"0","0"
17,"Fremont School District RE-3 Director District ''B'' ( 1)","Stephanie Tunstall","",507,100.00,2604,555,1,1,"0","0"
18,"Fremont School District RE-3 Director District ''D'' ( 1)","Blair O. Decker","",420,100.00,2604,555,1,1,"0","0"
19,"Fremont School District RE-3 Director District ''E'' ( 1)","Joseph Whipple","",259,57.56,2604,555,1,1,"0","0"
20,"Fremont School District RE-3 Director District ''E'' ( 1)","C. J. Moench Jr.","",191,42.44,2604,555,1,1,"0","0"
21,"Salida School District R-32-J District 1 ( 1)","Penny Wilken","",22,100.00,104,28,1,1,"0","0"
22,"Salida School District R-32-J District 3 ( 1)","Cheri Post","",24,100.00,104,28,1,1,"0","0"
23,"Salida School District R-32-J District 5 ( 1)","Kyle Earhart","",21,100.00,104,28,1,1,"0","0"
24,"Salida School District R-32-J Director At Large ( 1)","Loraine P Isenberger","",13,48.15,104,28,1,1,"0","0"
25,"Salida School District R-32-J Director At Large ( 1)","Jeannie Peters","",14,51.85,104,28,1,1,"0","0"
26,"City of Canon City Ballot Issue 2A ( 1)","Yes/For","",2355,51.57,11210,4708,1,1,"0","0"
27,"City of Canon City Ballot Issue 2A ( 1)","No/Against","",2212,48.43,11210,4708,1,1,"0","0"
28,"City of Canon City Ballot Issue 2B ( 1)","Yes/For","",2229,48.05,11210,4708,1,1,"0","0"
29,"City of Canon City Ballot Issue 2B ( 1)","No/Against","",2410,51.95,11210,4708,1,1,"0","0"
30,"Fremont County RE-1 School Ballot Issue 3A ( 1)","Yes/For","",4389,53.37,19355,8287,3,3,"0","0"
31,"Fremont County RE-1 School Ballot Issue 3A ( 1)","No/Against","",3835,46.63,19355,8287,3,3,"0","0"
32,"Fremont County RE-1 School Ballot Issue 3B ( 1)","Yes/For","",4135,50.46,19355,8287,3,3,"0","0"
33,"Fremont County RE-1 School Ballot Issue 3B ( 1)","No/Against","",4060,49.54,19355,8287,3,3,"0","0"
34,"Fremont RE-2 School District Ballot Question 3C ( 1)","Yes/For","",1371,59.58,8204,2529,7,7,"0","0"
35,"Fremont RE-2 School District Ballot Question 3C ( 1)","No/Against","",930,40.42,8204,2529,7,7,"0","0"
36,"Tallahassee Fire Protection District Ballot Issue 5A ( 1)","Yes/For","",202,58.38,594,346,2,2,"0","0"
37,"Tallahassee Fire Protection District Ballot Issue 5A ( 1)","No/Against","",144,41.62,594,346,2,2,"0","0"
38,"Penrose Park and Recreation District Ballot Issue 5B ( 1)","Yes/For","",743,65.75,3043,1135,3,3,"0","0"
39,"Penrose Park and Recreation District Ballot Issue 5B ( 1)","No/Against","",387,34.25,3043,1135,3,3,"0","0"
40,"Penrose Water District Ballot Issue 5C ( 1)","Yes/For","",584,53.33,3002,1110,3,3,"0","0"
41,"Penrose Water District Ballot Issue 5C ( 1)","No/Against","",511,46.67,3002,1110,3,3,"0","0"
