"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City of Trinidad Mayor - At Large ( 1)","Joe M. Bonato","",667,27.61,5595,2520,2,2,"0","0"
2,"City of Trinidad Mayor - At Large ( 1)","Phil Rico","",1749,72.39,5595,2520,2,2,"0","0"
3,"City of Trinidad Council Member - At Large ( 3)","Karen Griego","",1551,22.42,5595,2520,2,2,"0","0"
4,"City of Trinidad Council Member - At Large ( 3)","H. L. Bowman  Jr.","",347,5.02,5595,2520,2,2,"0","0"
5,"City of Trinidad Council Member - At Large ( 3)","Rusty Goodall","",974,14.08,5595,2520,2,2,"0","0"
6,"City of Trinidad Council Member - At Large ( 3)","Mary Jean Di Lisio","",279,4.03,5595,2520,2,2,"0","0"
7,"City of Trinidad Council Member - At Large ( 3)","Sarah Jane Gansz Ruybalid","",423,6.11,5595,2520,2,2,"0","0"
8,"City of Trinidad Council Member - At Large ( 3)","Frank (Sonny) Leone  Jr.","",931,13.46,5595,2520,2,2,"0","0"
9,"City of Trinidad Council Member - At Large ( 3)","Anthony C. Mattorano","",649,9.38,5595,2520,2,2,"0","0"
10,"City of Trinidad Council Member - At Large ( 3)","Linda Velasquez","",435,6.29,5595,2520,2,2,"0","0"
11,"City of Trinidad Council Member - At Large ( 3)","Jackson Pixley","",249,3.60,5595,2520,2,2,"0","0"
12,"City of Trinidad Council Member - At Large ( 3)","Anthony Mattie","",1081,15.62,5595,2520,2,2,"0","0"
13,"Hoehne Reorganized School District 3 Board Member Director District 2 ( 1)","Marvin Lee Price","",377,100.00,981,552,2,2,"0","0"
14,"Hoehne Reorganized School District 3 Board Member Director District 3 ( 1)","Cameron J. Cummings","",397,100.00,981,552,2,2,"0","0"
15,"Hoehne Reorganized School District 3 Board Member Director District 5 ( 1)","Jennifer B. Sanchez McDonald","",244,50.00,981,552,2,2,"0","0"
16,"Hoehne Reorganized School District 3 Board Member Director District 5 ( 1)","Steven M. Larson  Jr.","",244,50.00,981,552,2,2,"0","0"
17,"Hoehne Reorganized School District 3 Board Member Director District 6 ( 1)","Amy D. Navarette","",231,47.93,981,552,2,2,"0","0"
18,"Hoehne Reorganized School District 3 Board Member Director District 6 ( 1)","Ryan Coberly","",251,52.07,981,552,2,2,"0","0"
19,"Primero Reorganized School District 2 Board Member (Four Year Term) ( 4)","Cathi Guara","",126,9.79,1169,451,1,1,"0","0"
20,"Primero Reorganized School District 2 Board Member (Four Year Term) ( 4)","Gilbert (Pat) Mestas","",248,19.27,1169,451,1,1,"0","0"
21,"Primero Reorganized School District 2 Board Member (Four Year Term) ( 4)","John Jenkins","",229,17.79,1169,451,1,1,"0","0"
22,"Primero Reorganized School District 2 Board Member (Four Year Term) ( 4)","Bob Mattie","",205,15.93,1169,451,1,1,"0","0"
23,"Primero Reorganized School District 2 Board Member (Four Year Term) ( 4)","Retha (Missy) Chavez","",238,18.49,1169,451,1,1,"0","0"
24,"Primero Reorganized School District 2 Board Member (Four Year Term) ( 4)","Theresa (Teri) Trujillo","",241,18.73,1169,451,1,1,"0","0"
25,"Primero Reorganized School District 2 Board Member Two Year Term) ( 1)","Gary East","",180,46.04,1169,451,1,1,"0","0"
26,"Primero Reorganized School District 2 Board Member Two Year Term) ( 1)","Penni Moltrer","",211,53.96,1169,451,1,1,"0","0"
27,"Trinidad School District Number 1 Board Member ( 2)","Frank E. Hardy","",345,6.44,6815,3125,2,2,"0","0"
28,"Trinidad School District Number 1 Board Member ( 2)","Dean D. Duran","",992,18.52,6815,3125,2,2,"0","0"
29,"Trinidad School District Number 1 Board Member ( 2)","Jennie Garduno","",881,16.45,6815,3125,2,2,"0","0"
30,"Trinidad School District Number 1 Board Member ( 2)","Gary Robert Vezzani","",623,11.63,6815,3125,2,2,"0","0"
31,"Trinidad School District Number 1 Board Member ( 2)","Dan Ruscetti","",1051,19.63,6815,3125,2,2,"0","0"
32,"Trinidad School District Number 1 Board Member ( 2)","Joseph Terry","",1463,27.32,6815,3125,2,2,"0","0"
33,"Las Animas County Referendum 1A ( 1)","Yes/For","",2693,59.08,10163,4656,7,7,"0","0"
34,"Las Animas County Referendum 1A ( 1)","No/Against","",1865,40.92,10163,4656,7,7,"0","0"
35,"Las Animas County Referendum 1B ( 1)","Yes/For","",2863,63.10,10163,4656,7,7,"0","0"
36,"Las Animas County Referendum 1B ( 1)","No/Against","",1674,36.90,10163,4656,7,7,"0","0"
37,"Las Animas County Referendum 1C ( 1)","Yes/For","",3182,70.37,10163,4656,7,7,"0","0"
38,"Las Animas County Referendum 1C ( 1)","No/Against","",1340,29.63,10163,4656,7,7,"0","0"
39,"City of Trinidad Referendum 2A ( 1)","Yes/For","",1233,53.45,5595,2520,2,2,"0","0"
