"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"Colorado Mountain College Board of Trustees Director District 1 ( 1)","Charles Cunniffe","",2834,100.00,26191,4837,3,3,"0","0"
2,"Colorado Mountain College Board of Trustees Director District 3 ( 1)","Peg Portscheller","",1927,63.74,26191,4837,3,3,"0","0"
3,"Colorado Mountain College Board of Trustees Director District 3 ( 1)","Randy Winkler","",1096,36.26,26191,4837,3,3,"0","0"
4,"Colorado Mountain College Board of Trustees Director District 7 ( 1)","Doris Dewton","",2836,100.00,26191,4837,3,3,"0","0"
5,"Town of Silverthorne Referred Question 2A ( 1)","Yes/For","",651,85.43,2766,773,1,1,"0","0"
6,"Town of Silverthorne Referred Question 2A ( 1)","No/Against","",111,14.57,2766,773,1,1,"0","0"
7,"Town Of Dillon Referred Issue 2B ( 1)","Yes/For","",89,45.64,958,207,1,1,"0","0"
8,"Town Of Dillon Referred Issue 2B ( 1)","No/Against","",106,54.36,958,207,1,1,"0","0"
9,"Town of Dillon Referred Question 2C ( 1)","Yes/For","",150,73.89,958,207,1,1,"0","0"
10,"Town of Dillon Referred Question 2C ( 1)","No/Against","",53,26.11,958,207,1,1,"0","0"
11,"Colorado Mountain College Ballot Issue 4B ( 1)","Yes/For","",2381,49.61,26191,4837,3,3,"0","0"
12,"Colorado Mountain College Ballot Issue 4B ( 1)","No/Against","",2418,50.39,26191,4837,3,3,"0","0"
