"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Moffat County School District RE-1 School Board Director  District # 1 (Vote For 1)","Chip McIntyre","",1744,57.24,9635,3607,3,3,"0","0"
2,"Moffat County School District RE-1 School Board Director  District # 1 (Vote For 1)","Mindy Baker","",1303,42.76,9635,3607,3,3,"0","0"
3,"Moffat County School District RE-1 School Board Director  District # 2 (Vote For 1)","Elise Sullivan","",2586,100.00,9635,3607,3,3,"0","0"
4,"Moffat County School District RE-1 School Board Director  District # 4 (Vote For 1)","Alicia Noland","",1495,49.67,9635,3607,3,3,"0","0"
5,"Moffat County School District RE-1 School Board Director  District # 4 (Vote For 1)","Owen Lee Atkin","",1515,50.33,9635,3607,3,3,"0","0"
6,"Moffat County School District RE-1 School Board Director  District # 7 (Vote For 1)","Chris Thome","",108,100.00,9635,3607,3,3,"0","0"
7,"City Of Craig Referred Measure 2A (Vote For 1)","Yes/For","",1199,51.90,6263,2329,1,1,"0","0"
8,"City Of Craig Referred Measure 2A (Vote For 1)","No/Against","",1111,48.10,6263,2329,1,1,"0","0"
9,"Town of Dinosaur Referred Measure 2B (Vote For 1)","Yes/For","",53,67.09,254,79,1,1,"0","0"
10,"Town of Dinosaur Referred Measure 2B (Vote For 1)","No/Against","",26,32.91,254,79,1,1,"0","0"
11,"Moffat County Affiliated Junior College District Referred Measure 5A (Vote For 1)","Yes/For","",1203,33.85,9635,3607,3,3,"0","0"
12,"Moffat County Affiliated Junior College District Referred Measure 5A (Vote For 1)","No/Against","",2351,66.15,9635,3607,3,3,"0","0"
