"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City of Walsenburg Mayor ( 1)","James P Eccher","",566,61.66,2018,951,3,3,"0","0"
2,"City of Walsenburg Mayor ( 1)","Craig Lessar","",352,38.34,2018,951,3,3,"0","0"
3,"City of Walsenburg City Council Ward 1 ( 1)","Clint Boehler","",159,100.00,674,288,1,1,"0","0"
4,"City of Walsenburg City Council Ward 2 ( 1)","James Hudgens","",133,59.91,659,339,1,1,"0","0"
5,"City of Walsenburg City Council Ward 2 ( 1)","J Brian LaLander","",89,40.09,659,339,1,1,"0","0"
6,"City of Walsenburg City Council Ward 3 ( 1)","Charles Montoya","",203,100.00,685,324,1,1,"0","0"
7,"Huerfano School District Re-1 School Board Director ( 3)","Ernie Reynolds","",483,11.15,3907,1814,4,4,"0","0"
8,"Huerfano School District Re-1 School Board Director ( 3)","Art Bobian","",522,12.06,3907,1814,4,4,"0","0"
9,"Huerfano School District Re-1 School Board Director ( 3)","Dorothy J Martinez","",738,17.04,3907,1814,4,4,"0","0"
10,"Huerfano School District Re-1 School Board Director ( 3)","Sherry Gomez","",775,17.90,3907,1814,4,4,"0","0"
11,"Huerfano School District Re-1 School Board Director ( 3)","Elizabeth ""Liz"" Schneider","",685,15.82,3907,1814,4,4,"0","0"
12,"Huerfano School District Re-1 School Board Director ( 3)","Gretchen Sporleder Orr","",689,15.91,3907,1814,4,4,"0","0"
13,"Huerfano School District Re-1 School Board Director ( 3)","Frank Vialpando","",438,10.12,3907,1814,4,4,"0","0"
14,"Huerfano County Ballot Issue 1A ( 1)","Yes/For","",998,44.34,5096,2319,5,5,"0","0"
15,"Huerfano County Ballot Issue 1A ( 1)","No/Against","",1253,55.66,5096,2319,5,5,"0","0"
16,"City Of Walsenburg Ballot Issue 2A ( 1)","Yes/For","",507,54.75,2018,951,3,3,"0","0"
17,"City Of Walsenburg Ballot Issue 2A ( 1)","No/Against","",419,45.25,2018,951,3,3,"0","0"
