"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"De Beque School District 49-JT School Board Director (2 Year Term) (Vote For 1)","Kevin Pittman","",189,100.00,670,234,3,3,"0","0"
2,"De Beque School District 49-JT School Board Director (4 Year Term) (Vote For 3)","Ryan Rose","",112,20.97,670,234,3,3,"0","0"
3,"De Beque School District 49-JT School Board Director (4 Year Term) (Vote For 3)","Wendy K Chapman","",128,23.97,670,234,3,3,"0","0"
4,"De Beque School District 49-JT School Board Director (4 Year Term) (Vote For 3)","Brennan S Rigsby","",127,23.78,670,234,3,3,"0","0"
5,"De Beque School District 49-JT School Board Director (4 Year Term) (Vote For 3)","Dustin Sandidge","",167,31.27,670,234,3,3,"0","0"
6,"Mesa County Valley School District 51 - Director District C (Vote For 1)","John Williams","",29338,100.00,112692,44471,3,3,"0","0"
7,"Mesa County Valley School District 51 - Director District D (Vote For 1)","Dusti Reimer","",12491,33.96,112692,44471,3,3,"0","0"
8,"Mesa County Valley School District 51 - Director District D (Vote For 1)","Thomas M. Parrish","",24293,66.04,112692,44471,3,3,"0","0"
9,"Mesa County Valley School District 51 - Director District E (Vote For 1)","Tom Keenan","",11597,31.00,112692,44471,3,3,"0","0"
10,"Mesa County Valley School District 51 - Director District E (Vote For 1)","Amy L. Davis","",25808,69.00,112692,44471,3,3,"0","0"
11,"Plateau Valley School District 50 - Director District B (Vote For 1)","Dane Hilgenfeld","",569,100.00,2047,789,5,5,"0","0"
12,"Plateau Valley School District 50 - Director District D (Vote For 1)","Kori Satterfield","",401,60.57,2047,789,5,5,"0","0"
13,"Plateau Valley School District 50 - Director District D (Vote For 1)","Shana Appelhanz","",261,39.43,2047,789,5,5,"0","0"
14,"Plateau Valley School District 50 - Director District E (Vote For 1)","Monte Hawkins","",376,56.46,2047,789,5,5,"0","0"
15,"Plateau Valley School District 50 - Director District E (Vote For 1)","Kristin Melnikoff","",290,43.54,2047,789,5,5,"0","0"
16,"Mesa County Ballot Issue 1A (Vote For 1)","Yes/For","",28283,62.99,115411,45496,12,12,"0","0"
17,"Mesa County Ballot Issue 1A (Vote For 1)","No/Against","",16618,37.01,115411,45496,12,12,"0","0"
18,"Town of De Beque Ballot Issue 2A (Vote For 1)","Yes/For","",76,61.79,407,123,1,1,"0","0"
19,"Town of De Beque Ballot Issue 2A (Vote For 1)","No/Against","",47,38.21,407,123,1,1,"0","0"
20,"Mesa County Valley School District 51 Ballot Issue 3A (Vote For 1)","Yes/For","",23625,54.73,112692,44471,3,3,"0","0"
21,"Mesa County Valley School District 51 Ballot Issue 3A (Vote For 1)","No/Against","",19545,45.27,112692,44471,3,3,"0","0"
22,"Mesa County Valley School District 51 Ballot Issue 3B (Vote For 1)","Yes/For","",24293,55.15,112692,44471,3,3,"0","0"
23,"Mesa County Valley School District 51 Ballot Issue 3B (Vote For 1)","No/Against","",19753,44.85,112692,44471,3,3,"0","0"
24,"Grand River Hospital District Ballot Issue 4A (Vote For 1)","Yes/For","",0,0.00,0,0,1,1,"0","0"
25,"Grand River Hospital District Ballot Issue 4A (Vote For 1)","No/Against","",0,0.00,0,0,1,1,"0","0"
26,"Clifton Fire Protection District Ballot Issue 5A (Vote For 1)","Yes/For","",4411,64.54,20743,6921,1,1,"0","0"
27,"Clifton Fire Protection District Ballot Issue 5A (Vote For 1)","No/Against","",2424,35.46,20743,6921,1,1,"0","0"
28,"Roan Creek Metropolitan District Ballot Issue 5B (Vote For 1)","Yes/For","",117,46.06,728,257,4,4,"0","0"
29,"Roan Creek Metropolitan District Ballot Issue 5B (Vote For 1)","No/Against","",137,53.94,728,257,4,4,"0","0"
30,"Mesa Water & Sanitation District Ballot Issue 5C (Vote For 1)","Yes/For","",26,65.00,120,40,1,1,"0","0"
31,"Mesa Water & Sanitation District Ballot Issue 5C (Vote For 1)","No/Against","",14,35.00,120,40,1,1,"0","0"
32,"Grand Mesa Metropolitan District Ballot Issue 5D (Vote For 1)","Yes/For","",87,95.60,19,92,1,1,"0","0"
33,"Grand Mesa Metropolitan District Ballot Issue 5D (Vote For 1)","No/Against","",4,4.40,19,92,1,1,"0","0"
