"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City of Alamosa Mayor ( 1)","Ty Coleman","",1320,61.60,5465,2190,3,3,"0","0"
2,"City of Alamosa Mayor ( 1)","Josef P. Lucero","",823,38.40,5465,2190,3,3,"0","0"
3,"City of Alamosa Councilor At Large ( 1)","Jan Vigil","",1569,100.00,5465,2190,3,3,"0","0"
4,"City of Alamosa Councilor Ward 2 ( 1)","Kristina Daniel","",335,49.93,1482,712,1,1,"0","0"
5,"City of Alamosa Councilor Ward 2 ( 1)","David Broyles","",336,50.07,1482,712,1,1,"0","0"
6,"City of Alamosa Councilor Ward 4 ( 1)","Michael Stefano","",166,43.01,1130,420,1,1,"0","0"
7,"City of Alamosa Councilor Ward 4 ( 1)","Michael Carson","",220,56.99,1130,420,1,1,"0","0"
8,"Alamosa RE-11J School District Director District 1 ( 1)","Elias ''Eli'' Heredia","",1061,36.29,8994,3172,4,4,"0","0"
9,"Alamosa RE-11J School District Director District 1 ( 1)","Thomas ''Thom'' Miller  MD","",1408,48.15,8994,3172,4,4,"0","0"
10,"Alamosa RE-11J School District Director District 1 ( 1)","Star Quintana","",455,15.56,8994,3172,4,4,"0","0"
11,"Alamosa RE-11J School District Director District 4 ( 1)","Erica N. Romero","",2193,100.00,8994,3172,4,4,"0","0"
12,"Center Consolidated School Distirct 26JT School Director B ( 1)","James Sanchez","",0,0.00,5,5,1,1,"0","0"
13,"Center Consolidated School Distirct 26JT School Director B ( 1)","Misty Jo Palacios","",5,100.00,5,5,1,1,"0","0"
14,"Sargent School District RE-33J School Board Director ( 3)","Yael Defaye","",11,9.09,92,42,1,1,"0","0"
15,"Sargent School District RE-33J School Board Director ( 3)","Tyler Mitchell","",34,28.10,92,42,1,1,"0","0"
16,"Sargent School District RE-33J School Board Director ( 3)","Michele Peterson","",35,28.93,92,42,1,1,"0","0"
17,"Sargent School District RE-33J School Board Director ( 3)","Tyler Kyffin","",10,8.26,92,42,1,1,"0","0"
18,"Sargent School District RE-33J School Board Director ( 3)","Nathan Burkhart","",31,25.62,92,42,1,1,"0","0"
19,"City of Alamosa Initiated Ballot Question 300 ( 1)","Yes/For","",879,40.58,5465,2190,3,3,"0","0"
20,"City of Alamosa Initiated Ballot Question 300 ( 1)","No/Against","",1287,59.42,5465,2190,3,3,"0","0"
21,"City of Alamosa Initiated Ballot Question 301 ( 1)","Yes/For","",803,37.19,5465,2190,3,3,"0","0"
22,"City of Alamosa Initiated Ballot Question 301 ( 1)","No/Against","",1356,62.81,5465,2190,3,3,"0","0"
23,"City of Alamosa Referred Ballot Issue 2A ( 1)","Yes/For","",1331,61.65,5465,2190,3,3,"0","0"
24,"City of Alamosa Referred Ballot Issue 2A ( 1)","No/Against","",828,38.35,5465,2190,3,3,"0","0"
25,"City of Alamosa Referred Ballot Question 2B ( 1)","Yes/For","",1461,70.82,5465,2190,3,3,"0","0"
26,"City of Alamosa Referred Ballot Question 2B ( 1)","No/Against","",602,29.18,5465,2190,3,3,"0","0"
27,"City of Alamosa Referred  Ballot Question 2C ( 1)","Yes/For the Amendment","",1195,57.18,5465,2190,3,3,"0","0"
28,"City of Alamosa Referred  Ballot Question 2C ( 1)","No/Against the Amendment","",895,42.82,5465,2190,3,3,"0","0"
29,"City of Alamosa Referred Ballot Question 2D ( 1)","Yes/For Repeal of the Provision","",1209,60.30,5465,2190,3,3,"0","0"
30,"City of Alamosa Referred Ballot Question 2D ( 1)","No/Against Repeal of the Provision","",796,39.70,5465,2190,3,3,"0","0"
31,"City of Alamosa Referred Ballot Question 2E ( 1)","Yes/For the Amendment","",1023,48.60,5465,2190,3,3,"0","0"
32,"City of Alamosa Referred Ballot Question 2E ( 1)","No/Against the Amendment","",1082,51.40,5465,2190,3,3,"0","0"
33,"Sangre De Cristo RE-22J School District Ballot Question 3A ( 1)","Yes/For","",60,25.10,708,239,1,1,"0","0"
34,"Sangre De Cristo RE-22J School District Ballot Question 3A ( 1)","No/Against","",179,74.90,708,239,1,1,"0","0"
