"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City of Brighton Mayor ( 1)","Wayne Scott","",22,22.22,276,111,3,3,"0","0"
2,"City of Brighton Mayor ( 1)","Ken Kreutzer","",45,45.45,276,111,3,3,"0","0"
3,"City of Brighton Mayor ( 1)","Kirby Wallin","",32,32.32,276,111,3,3,"0","0"
4,"City of Dacono Council Members ( 2)","Kathryn Wittman","",314,53.49,3143,447,2,2,"0","0"
5,"City of Dacono Council Members ( 2)","Debbie Nasta","",273,46.51,3143,447,2,2,"0","0"
6,"City of Fort Lupton Mayor at Large ( 1)","Zo Stieber","",609,55.57,4220,1138,3,3,"0","0"
7,"City of Fort Lupton Mayor at Large ( 1)","Bob McWilliams","",487,44.43,4220,1138,3,3,"0","0"
8,"City of Greeley Mayor ( 1)","Patrick Wardell","",2962,16.27,59304,19514,7,7,"0","0"
9,"City of Greeley Mayor ( 1)","John Gates","",15239,83.73,59304,19514,7,7,"0","0"
10,"City of Greeley At-Large Councilmember ( 1)","Stacy Suniga","",7127,41.38,59304,19514,7,7,"0","0"
11,"City of Greeley At-Large Councilmember ( 1)","Thomas J. Marlo","",2634,15.29,59304,19514,7,7,"0","0"
12,"City of Greeley At-Large Councilmember ( 1)","Edward Mirick","",7462,43.33,59304,19514,7,7,"0","0"
13,"City of Brighton Councilmember Ward 1 ( 1)","Joan Kniss","",41,44.09,230,105,1,1,"0","0"
14,"City of Brighton Councilmember Ward 1 ( 1)","Matt Johnston","",41,44.09,230,105,1,1,"0","0"
15,"City of Brighton Councilmember Ward 1 ( 1)","Andrew W. Butler","",11,11.83,230,105,1,1,"0","0"
16,"City of Brighton Councilmember Ward 2 ( 1)","Gregory Mills","",2,33.33,46,6,2,2,"0","0"
17,"City of Brighton Councilmember Ward 2 ( 1)","D. R. Dill","",3,50.00,46,6,2,2,"0","0"
18,"City of Brighton Councilmember Ward 2 ( 1)","Ferman ''Sonny'' Maestas","",1,16.67,46,6,2,2,"0","0"
19,"City of Fort Lupton Ward I Councilmember ( 1)","Shannon Rhoda","",183,100.00,1196,242,1,1,"0","0"
20,"City of Fort Lupton Ward II Councilmember ( 1)","Tommy Holton","",365,100.00,1499,469,1,1,"0","0"
