"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"Center Consolidated School Distirct 26JT School Director B ( 1)","James Sanchez","",105,30.97,1320,341,1,1,"0","0"
2,"Center Consolidated School Distirct 26JT School Director B ( 1)","Misty Jo Palacios","",234,69.03,1320,341,1,1,"0","0"
3,"Moffat Consolidated School District 2 Director District 2 ( 1)","Mary Elizabeth Benavidez","",190,100.00,1552,272,2,2,"0","0"
4,"Moffat Consolidated School District 2 Director District 3 ( 1)","Matthew P. Crowley","",233,100.00,1552,272,2,2,"0","0"
5,"Moffat Consolidated School District 2 Director At Large 1 (2 Year Term) ( 1)","Ginger Ann Stringer","",189,98.44,1552,272,2,2,"0","0"
6,"Moffat Consolidated School District 2 Director At Large 1 (2 Year Term) ( 1)","Jessica Hawkins","",3,1.56,1552,272,2,2,"0","0"
7,"Moffat Consolidated School District 2 Director At Large 2 (4 Year Term) ( 1)","Jerry L. Berry","",16,100.00,1552,272,2,2,"0","0"
8,"Mountain Valley School District RE-1 Board of Education - Board Member ( 2)","Lisa Hammel","",104,100.00,1179,592,1,1,"0","0"
9,"Town of Moffat Ballot Issue 2A ( 1)","Yes/For","",14,66.67,85,21,1,1,"0","0"
10,"Town of Moffat Ballot Issue 2A ( 1)","No/Against","",7,33.33,85,21,1,1,"0","0"
11,"Sangre De Cristo RE-22J School District Ballot Question 3A ( 1)","Yes/For","",10,25.64,119,39,1,1,"0","0"
12,"Sangre De Cristo RE-22J School District Ballot Question 3A ( 1)","No/Against","",29,74.36,119,39,1,1,"0","0"
13,"Mountain Valley School District RE-1 Ballot Issue 3B ( 1)","Yes/For","",345,58.38,1179,592,1,1,"0","0"
14,"Mountain Valley School District RE-1 Ballot Issue 3B ( 1)","No/Against","",246,41.62,1179,592,1,1,"0","0"
