"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City Of Loveland Mayor ( 1)","John H. Fogle","",6331,35.56,54419,18818,9,9,"0","0"
2,"City Of Loveland Mayor ( 1)","Jacki Marsh","",8310,46.67,54419,18818,9,9,"0","0"
3,"City Of Loveland Mayor ( 1)","Larry Heckel","",3164,17.77,54419,18818,9,9,"0","0"
4,"City Of Loveland Councilor Ward 1 ( 1)","Lenard Larkin","",1703,39.92,14225,5205,2,2,"0","0"
5,"City Of Loveland Councilor Ward 1 ( 1)","Jeremy Jersvig","",2563,60.08,14225,5205,2,2,"0","0"
6,"City Of Loveland Councilor Ward 2 ( 1)","Gail Snyder","",1645,34.76,13099,5216,2,2,"0","0"
7,"City Of Loveland Councilor Ward 2 ( 1)","Kathi Wright","",2066,43.65,13099,5216,2,2,"0","0"
8,"City Of Loveland Councilor Ward 2 ( 1)","Gary Lindquist","",1022,21.59,13099,5216,2,2,"0","0"
9,"City Of Loveland Councilor Ward 3 ( 1)","Steve Olson","",2113,69.69,12125,3530,2,2,"0","0"
10,"City Of Loveland Councilor Ward 3 ( 1)","John Ryan Keil","",919,30.31,12125,3530,2,2,"0","0"
11,"City Of Loveland Councilor Ward 4 ( 1)","Dave Clark","",3143,100.00,14970,4867,3,3,"0","0"
12,"Poudre School District R-1 Director District C ( 1)","John Clarke","",14796,34.71,152883,51358,6,6,"0","0"
13,"Poudre School District R-1 Director District C ( 1)","Kristen Draper","",27831,65.29,152883,51358,6,6,"0","0"
14,"Poudre School District R-1 Director District D ( 1)","Christophe Febvre","",28037,100.00,152883,51358,6,6,"0","0"
15,"Poudre School District R-1 Director District E ( 1)","Carolyn Reed","",28680,100.00,152883,51358,6,6,"0","0"
16,"Thompson School District R2-J Board of Education Director District B ( 1)","Paul Bankes","",19129,100.00,88558,30510,12,12,"0","0"
17,"Thompson School District R2-J Board of Education Director District E ( 1)","Lori Hvizda Ward","",19267,100.00,88558,30510,12,12,"0","0"
