"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of Idaho Springs Mayor (Vote For 1)","Michael L. Hillman","",308,100.00,2564,440,3,3,"0","0"
2,"City of Idaho Springs City Clerk (Vote For 1)","Diane Breece","",305,100.00,2564,440,3,3,"0","0"
3,"City of Idaho Springs City Treasurer (Vote For 1)","Diane Breece","",293,100.00,2564,440,3,3,"0","0"
4,"City of Idaho Springs City Council  Ward I (Vote For 1)","Write-in","",24,50.00,1040,171,1,1,"0","0"
5,"City of Idaho Springs City Council  Ward I (Vote For 1)","Scott Pennell","",24,50.00,1040,171,1,1,"0","0"
6,"City of Idaho Springs City Council  Ward II (Vote For 1)","Michael L. Vieweg","",126,100.00,896,175,1,1,"0","0"
7,"City of Idaho Springs City Council  Ward III (Vote For 1)","Robert T. Bowland","",72,100.00,628,94,1,1,"0","0"
8,"Clear Creek School District RE-1 Director  District B (Vote For 1)","James Houston","",1610,100.00,7929,2248,9,9,"0","0"
9,"Clear Creek School District RE-1 Director  District C (Vote For 1)","Scott York","",559,29.44,7929,2248,9,9,"0","0"
10,"Clear Creek School District RE-1 Director  District C (Vote For 1)","Jennifer Cassell","",1340,70.56,7929,2248,9,9,"0","0"
11,"Clear Creek County Ballot Issue 1A (Vote For 1)","Yes/For","",1654,64.66,7929,2248,9,9,"0","0"
12,"Clear Creek County Ballot Issue 1A (Vote For 1)","No/Against","",904,35.34,7929,2248,9,9,"0","0"
13,"Town of Georgetown Ballot Question 2A (Vote For 1)","Yes/For","",218,76.49,1105,351,1,1,"0","0"
14,"Town of Georgetown Ballot Question 2A (Vote For 1)","No/Against","",67,23.51,1105,351,1,1,"0","0"
15,"City of Idaho Springs Ballot Issue 2B (Vote For 1)","Yes/For","",279,63.99,2564,440,3,3,"0","0"
16,"City of Idaho Springs Ballot Issue 2B (Vote For 1)","No/Against","",157,36.01,2564,440,3,3,"0","0"
17,"City of Idaho Springs Ballot Question 2C (Vote For 1)","Yes/For","",301,70.33,2564,440,3,3,"0","0"
18,"City of Idaho Springs Ballot Question 2C (Vote For 1)","No/Against","",127,29.67,2564,440,3,3,"0","0"
