"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Denver Public Schools (School District No. 1) Director at Large (Vote For 1)","Julie Bañuelos","",29559,24.28,450244,143392,346,346,"0","0"
2,"Denver Public Schools (School District No. 1) Director at Large (Vote For 1)","Robert Russell Speth","",42878,35.23,450244,143392,346,346,"0","0"
3,"Denver Public Schools (School District No. 1) Director at Large (Vote For 1)","Barbara O'Brien","",49283,40.49,450244,143392,346,346,"0","0"
4,"Denver Public Schools (School District No. 1) Director District 2 (Vote For 1)","Angela Cobian","",8142,52.44,67387,18302,49,49,"0","0"
5,"Denver Public Schools (School District No. 1) Director District 2 (Vote For 1)","Xochitl ''Sochi'' Gaytan","",7385,47.56,67387,18302,49,49,"0","0"
6,"Denver Public Schools (School District No. 1) Director District 3 (Vote For 1)","Carrie A. Olson","",16317,53.87,100149,35251,82,82,"0","0"
7,"Denver Public Schools (School District No. 1) Director District 3 (Vote For 1)","Mike Johnson","",13975,46.13,100149,35251,82,82,"0","0"
8,"Denver Public Schools (School District No. 1) Director District 4 (Vote For 1)","Tay Anderson","",6282,25.13,87687,27318,75,75,"0","0"
9,"Denver Public Schools (School District No. 1) Director District 4 (Vote For 1)","Rachele Espiritu","",8248,32.99,87687,27318,75,75,"0","0"
10,"Denver Public Schools (School District No. 1) Director District 4 (Vote For 1)","Jennifer Bacon","",10471,41.88,87687,27318,75,75,"0","0"
11,"City And County of Denver Referred Question 2A (Vote For 1)","Yes/For - Si/En Favor De","",105978,75.16,450244,143392,346,346,"0","0"
12,"City And County of Denver Referred Question 2A (Vote For 1)","No/Against - No/En Contra De","",35016,24.84,450244,143392,346,346,"0","0"
13,"City And County of Denver Referred Question 2B (Vote For 1)","Yes/For - Si/En Favor De","",98921,70.88,450244,143392,346,346,"0","0"
14,"City And County of Denver Referred Question 2B (Vote For 1)","No/Against - No/En Contra De","",40648,29.12,450244,143392,346,346,"0","0"
15,"City And County of Denver Referred Question 2C (Vote For 1)","Yes/For - Si/En Favor De","",96713,69.11,450244,143392,346,346,"0","0"
16,"City And County of Denver Referred Question 2C (Vote For 1)","No/Against - No/En Contra De","",43228,30.89,450244,143392,346,346,"0","0"
17,"City And County of Denver Referred Question 2D (Vote For 1)","Yes/For - Si/En Favor De","",100824,71.53,450244,143392,346,346,"0","0"
18,"City And County of Denver Referred Question 2D (Vote For 1)","No/Against - No/En Contra De","",40131,28.47,450244,143392,346,346,"0","0"
19,"City And County of Denver Referred Question 2E (Vote For 1)","Yes/For - Si/En Favor De","",102483,72.57,450244,143392,346,346,"0","0"
20,"City And County of Denver Referred Question 2E (Vote For 1)","No/Against - No/En Contra De","",38735,27.43,450244,143392,346,346,"0","0"
21,"City And County of Denver Referred Question 2F (Vote For 1)","Yes/For - Si/En Favor De","",102823,73.26,450244,143392,346,346,"0","0"
22,"City And County of Denver Referred Question 2F (Vote For 1)","No/Against - No/En Contra De","",37521,26.74,450244,143392,346,346,"0","0"
23,"City And County of Denver Referred Question 2G (Vote For 1)","Yes/For - Si/En Favor De","",94440,67.82,450244,143392,346,346,"0","0"
24,"City And County of Denver Referred Question 2G (Vote For 1)","No/Against - No/En Contra De","",44811,32.18,450244,143392,346,346,"0","0"
25,"City And County of Denver Referred Question 2H (Vote For 1)","Yes/For - Si/En Favor De","",92395,68.31,450244,143392,346,346,"0","0"
26,"City And County of Denver Referred Question 2H (Vote For 1)","No/Against - No/En Contra De","",42863,31.69,450244,143392,346,346,"0","0"
27,"City And County of Denver Initiated Ordinance 300 (Vote For 1)","Yes/For - Si/En Favor De","",75094,54.30,450244,143392,346,346,"0","0"
28,"City And County of Denver Initiated Ordinance 300 (Vote For 1)","No/Against - No/En Contra De","",63202,45.70,450244,143392,346,346,"0","0"
29,"Valley Sanitation District Ballot Issue 4A (Vote For 1)","Yes/For - Si/En Favor De","",235,59.05,2487,797,2,2,"0","0"
30,"Valley Sanitation District Ballot Issue 4A (Vote For 1)","No/Against - No/En Contra De","",163,40.95,2487,797,2,2,"0","0"
