"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Town of Crested Butte Mayor (Vote For 1)","Paul Merck","",66,8.94,1511,761,1,1,"0","0"
2,"Town of Crested Butte Mayor (Vote For 1)","Jim ''Deli'' Schmidt","",332,44.99,1511,761,1,1,"0","0"
3,"Town of Crested Butte Mayor (Vote For 1)","Chris Ladoulis","",296,40.11,1511,761,1,1,"0","0"
4,"Town of Crested Butte Mayor (Vote For 1)","Tracy A. Smith","",44,5.96,1511,761,1,1,"0","0"
5,"Town of Crested Butte Town Council (Vote For 4)","Kyle ''Squirl'' Ryan","",335,12.69,1511,761,1,1,"0","0"
6,"Town of Crested Butte Town Council (Vote For 4)","Richard Machemehl","",54,2.05,1511,761,1,1,"0","0"
7,"Town of Crested Butte Town Council (Vote For 4)","Kent Cowherd","",377,14.28,1511,761,1,1,"0","0"
8,"Town of Crested Butte Town Council (Vote For 4)","Lisa Merck","",127,4.81,1511,761,1,1,"0","0"
9,"Town of Crested Butte Town Council (Vote For 4)","Jackson Petito","",605,22.92,1511,761,1,1,"0","0"
10,"Town of Crested Butte Town Council (Vote For 4)","William Dujardin","",375,14.20,1511,761,1,1,"0","0"
11,"Town of Crested Butte Town Council (Vote For 4)","Candice Bradley","",334,12.65,1511,761,1,1,"0","0"
12,"Town of Crested Butte Town Council (Vote For 4)","Chris Haver","",433,16.40,1511,761,1,1,"0","0"
13,"Montrose County School District RE-1J School Board Director District A (Vote For 1)","Jeff Bachman","",12,100.00,42,12,1,1,"0","0"
14,"Montrose County School District RE-1J School Board Director District B (Vote For 1)","Jacob H. Suppes","",12,100.00,42,12,1,1,"0","0"
15,"Montrose County School District RE-1J School Board Director District C (Vote For 1)","Gayle Johnson","",11,100.00,42,12,1,1,"0","0"
16,"Montrose County School District RE-1J School Board Director District E (Vote For 1)","AJ Smith","",5,41.67,42,12,1,1,"0","0"
17,"Montrose County School District RE-1J School Board Director District E (Vote For 1)","Sarah Fishering","",7,58.33,42,12,1,1,"0","0"
18,"Town of Crested Butte Ballot Question 2A (Vote For 1)","Yes/For","",607,81.04,1511,761,1,1,"0","0"
19,"Town of Crested Butte Ballot Question 2A (Vote For 1)","No/Against","",142,18.96,1511,761,1,1,"0","0"
20,"Carbondale & Rural Fire Protection District Ballot Issue 4C (Vote For 1)","Yes/For","",64,57.66,315,111,2,2,"0","0"
21,"Carbondale & Rural Fire Protection District Ballot Issue 4C (Vote For 1)","No/Against","",47,42.34,315,111,2,2,"0","0"
22,"Crested Butte Fire Protection District Ballot Issue 5A (Vote For 1)","Yes/For","",1130,67.10,4223,1636,3,3,"0","0"
23,"Crested Butte Fire Protection District Ballot Issue 5A (Vote For 1)","No/Against","",554,32.90,4223,1636,3,3,"0","0"
