"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
1,"San Juan County Ballot Issue 1A (Vote For 1)","Yes/For","",204,55.14,715,370,1,1,"0","0"
2,"San Juan County Ballot Issue 1A (Vote For 1)","No/Against","",166,44.86,715,370,1,1,"0","0"
3,"North Park School District R-1 Director District 2 (Vote For 1)","Laurie Schmidt","",192,43.44,1206,449,1,1,"0","0"
4,"North Park School District R-1 Director District 2 (Vote For 1)","Christine Redman","",250,56.56,1206,449,1,1,"0","0"
5,"North Park School District R-1 Director District 3 (Vote For 1)","Shayla Hartman","",325,100.00,1206,449,1,1,"0","0"
6,"North Park School District R-1 Director District At-Large B (Vote For 1)","Heather Westfahl","",321,100.00,1206,449,1,1,"0","0"
7,"North Park School District R-1 Director District At-Large C (Vote For 1)","Graham Crews","",333,100.00,1206,449,1,1,"0","0"
8,"North Park School District R-1 Director District At-Large D (Vote For 1)","Faith Anderson","",313,100.00,1206,449,1,1,"0","0"
9,"City of Arvada Councilmember At Large (Vote For 1)","Dot Miller","",7446,27.82,684951,198770,2,2,"0","0"
10,"City of Arvada Councilmember At Large (Vote For 1)","Jordan Hohenstein","",5023,18.77,684951,198770,2,2,"0","0"
11,"City of Arvada Councilmember At Large (Vote For 1)","Dave Palm","",2448,9.15,684951,198770,2,2,"0","0"
12,"City of Arvada Councilmember At Large (Vote For 1)","Jim Whitfield","",6992,26.13,684951,198770,2,2,"0","0"
13,"City of Arvada Councilmember At Large (Vote For 1)","John Malito","",4854,18.14,684951,198770,2,2,"0","0"
14,"City of Aurora Council Member Ward I (Vote For 1)","Sally Mounier","",1244,39.29,613863,155584,2,2,"0","0"
15,"City of Aurora Council Member Ward I (Vote For 1)","Crystal Murillo","",1922,60.71,613863,155584,2,2,"0","0"
16,"City of Aurora Council Member Ward II (Vote For 1)","Bob Hagedorn","",1533,23.65,613863,155584,2,2,"0","0"
17,"City of Aurora Council Member Ward II (Vote For 1)","Nicole Emily Johnston","",3219,49.66,613863,155584,2,2,"0","0"
18,"City of Aurora Council Member Ward II (Vote For 1)","Ruben L. Medina","",603,9.30,613863,155584,2,2,"0","0"
19,"City of Aurora Council Member Ward II (Vote For 1)","Robert E. O'Riley","",752,11.60,613863,155584,2,2,"0","0"
20,"City of Aurora Council Member Ward II (Vote For 1)","Jeff Wilson","",375,5.79,613863,155584,2,2,"0","0"
21,"City of Aurora Council Member At-Large (Vote For 2)","Brian E. Arnold","",8156,10.54,851820,246847,3,3,"0","0"
22,"City of Aurora Council Member At-Large (Vote For 2)","Dave Gruber","",13552,17.52,851820,246847,3,3,"0","0"
23,"City of Aurora Council Member At-Large (Vote For 2)","Reid Hettich","",2955,3.82,851820,246847,3,3,"0","0"
24,"City of Aurora Council Member At-Large (Vote For 2)","Allison Hiltz","",17694,22.88,851820,246847,3,3,"0","0"
25,"City of Aurora Council Member At-Large (Vote For 2)","Tim Huffman","",11855,15.33,851820,246847,3,3,"0","0"
26,"City of Aurora Council Member At-Large (Vote For 2)","Abel Laeke","",2966,3.83,851820,246847,3,3,"0","0"
27,"City of Aurora Council Member At-Large (Vote For 2)","Tom Tobiassen","",13505,17.46,851820,246847,3,3,"0","0"
28,"City of Aurora Council Member At-Large (Vote For 2)","Russ Wagner","",6667,8.62,851820,246847,3,3,"0","0"
29,"City of Brighton Mayor (Vote For 1)","Wayne Scott","",1815,28.21,446190,113920,2,2,"0","0"
30,"City of Brighton Mayor (Vote For 1)","Ken Kreutzer","",3118,48.46,446190,113920,2,2,"0","0"
31,"City of Brighton Mayor (Vote For 1)","Kirby Wallin","",1501,23.33,446190,113920,2,2,"0","0"
32,"City of Brighton Councilmember Ward 1 (Vote For 1)","Joan Kniss","",815,48.34,446190,113920,2,2,"0","0"
33,"City of Brighton Councilmember Ward 1 (Vote For 1)","Matt Johnston","",763,45.26,446190,113920,2,2,"0","0"
34,"City of Brighton Councilmember Ward 1 (Vote For 1)","Andrew W. Butler","",108,6.41,446190,113920,2,2,"0","0"
35,"City of Brighton Councilmember Ward 2 (Vote For 1)","Gregory Mills","",580,39.22,446190,113920,2,2,"0","0"
36,"City of Brighton Councilmember Ward 2 (Vote For 1)","D. R. Dill","",419,28.33,446190,113920,2,2,"0","0"
37,"City of Brighton Councilmember Ward 2 (Vote For 1)","Ferman ''Sonny'' Maestas","",480,32.45,446190,113920,2,2,"0","0"
38,"City of Littleton Council Member District III (Vote For 1)","Phil Cernanec","",1460,40.97,588899,182280,2,2,"0","0"
39,"City of Littleton Council Member District III (Vote For 1)","Carol Fey","",1858,52.13,588899,182280,2,2,"0","0"
40,"City of Littleton Council Member District III (Vote For 1)","Steven Esses","",246,6.90,588899,182280,2,2,"0","0"
41,"City of Littleton Council Member at Large (Vote For 2)","Kyle Schlachter","",5386,25.62,1010929,316483,3,3,"0","0"
42,"City of Littleton Council Member at Large (Vote For 2)","Karina Elrod","",5518,26.25,1010929,316483,3,3,"0","0"
43,"City of Littleton Council Member at Large (Vote For 2)","Doug Clark","",5173,24.61,1010929,316483,3,3,"0","0"
44,"City of Littleton Council Member at Large (Vote For 2)","Carol Brzeczek","",4943,23.52,1010929,316483,3,3,"0","0"
